Site,Date,Time,SampleID,ROI_ID,Latitude,Longitude,MSL,LAI,SMP
Teller_MM27,20220709,03:31:05pm,TLAI0001,1,64.73434049,-165.9388534,113.275,3.44,5
Teller_MM27,20220709,03:37:38pm,TLAI0002,2,64.73438875,-165.9391222,114.315,2.59,4
Teller_MM27,20220709,03:43:12pm,TLAI0003,3,64.73464224,-165.9390296,116.339,2.37,5
Teller_MM27,20220709,03:45:50pm,TLAI0004,4,64.73498549,-165.9395267,119.94,4.78,4
Teller_MM27,20220709,03:48:00pm,TLAI0005,5,64.73508061,-165.9395977,120.92,1.92,5
Teller_MM27,20220709,03:50:20pm,TLAI0006,6,64.73526279,-165.9401154,124.111,5.33,5
Teller_MM27,20220709,03:53:31pm,TLAI0007,7,64.7353538,-165.940432,126.094,2.2,5
Teller_MM27,20220709,03:57:00pm,TLAI0008,8,64.73547458,-165.9408226,128.939,1.1,5
Teller_MM27,20220709,03:59:55pm,TLAI0009,9,64.73558916,-165.9414718,131.915,5.06,5
Teller_MM27,20220709,04:06:52pm,TLAI0010,10,64.73535047,-165.9411905,128.624,5.05,5
Teller_MM27,20220709,04:19:38pm,TLAI0011,11,64.73270832,-165.9391436,102.251,1.63,5
Teller_MM27,20220709,04:23:22pm,TLAI0012,12,64.73291804,-165.9398011,104.825,1.9,5
Teller_MM27,20220709,04:25:50pm,TLAI0013,13,64.73296538,-165.9402552,106.247,3.51,5
Teller_MM27,20220709,04:28:48pm,TLAI0014,14,64.7330188,-165.9411344,108.755,3.92,4
Teller_MM27,20220709,04:32:11pm,TLAI0015,15,64.73335542,-165.9410517,110.538,3.58,5
Teller_MM27,20220709,04:34:40pm,TLAI0016,16,64.73331103,-165.9415854,111.568,2.25,5
Teller_MM27,20220709,04:37:30pm,TLAI0017,17,64.73356733,-165.9419185,114.398,4.58,5
Teller_MM27,20220709,04:40:19pm,TLAI0018,18,64.73375286,-165.9420467,115.97,0.93,5
Teller_MM27,20220709,04:43:37pm,TLAI0019,19,64.73399263,-165.9420594,117.733,4.23,5
Teller_MM27,20220709,04:46:15pm,TLAI0020,20,64.73411569,-165.9419517,118.944,0.41,5
Teller_MM27,20220709,04:48:58pm,TLAI0021,21,64.73416293,-165.94217,120.459,2.39,5
Teller_MM27,20220709,04:51:45pm,TLAI0022,22,64.73422389,-165.9421036,120.96,1.51,4
Teller_MM27,20220709,04:56:07pm,TLAI0023,23,64.73296468,-165.9415765,109.955,4.49,5
Teller_MM27,20220709,04:59:25pm,TLAI0024,24,64.73303609,-165.9421454,111.966,6.06,4
Teller_MM27,20220709,05:01:54pm,TLAI0025,25,64.73310933,-165.9423042,113.073,0.82,4
Teller_MM27,20220709,05:07:20pm,TLAI0026,26,64.73334882,-165.9423141,114.529,5.3,5
Teller_MM27,20220709,05:12:04pm,TLAI0027,27,64.73308264,-165.9415373,110.491,4.27,4
Teller_MM27,20220709,05:14:12pm,TLAI0028,28,64.73307149,-165.9413586,110.01,2.7,4
Teller_MM27,20220709,05:16:13pm,TLAI0029,29,64.73318145,-165.9409594,109.639,1.32,5
Teller_MM27,20220709,05:20:22pm,TLAI0030,30,64.73274146,-165.9388819,102.026,2.04,5
Teller_MM27,20220709,05:28:02pm,TLAI0031,31,64.73097581,-165.9402258,96.996,0.88,4
Teller_MM27,20220709,05:30:49pm,TLAI0032,32,64.73118597,-165.9409346,98.939,0.86,5
Teller_MM27,20220709,05:33:43pm,TLAI0033,33,64.73109562,-165.9415304,99.152,0.73,5
Teller_MM27,20220709,05:36:46pm,TLAI0034,34,64.73108476,-165.9420504,100.239,1.1,5
Teller_MM27,20220709,05:39:54pm,TLAI0035,35,64.73062229,-165.9420634,96.599,6.22,5
Teller_MM27,20220709,05:42:27pm,TLAI0036,36,64.7303799,-165.9415635,94.889,0.51,5
Teller_MM27,20220709,05:45:22pm,TLAI0037,37,64.73025201,-165.9419091,95.397,0.67,5
Teller_MM27,20220709,05:48:13pm,TLAI0038,38,64.73000096,-165.942442,94.295,1.23,5
Teller_MM27,20220709,05:52:49pm,TLAI0039,39,64.7290503,-165.9417915,89.368,0.98,5
Teller_MM27,20220709,05:55:06pm,TLAI0040,40,64.72894405,-165.9415778,88.528,2.13,4
Teller_MM27,20220710,10:32:21am,TLAI0041,41,64.72528478,-165.9416103,72.197,0.59,4
Teller_MM27,20220710,10:34:45am,TLAI0042,42,64.72552309,-165.9418465,72.844,2.06,5
Teller_MM27,20220710,10:37:23am,TLAI0043,43,64.72562558,-165.9421276,73.737,1.09,5
Teller_MM27,20220710,10:40:02am,TLAI0044,44,64.72580974,-165.9426377,73.628,2.51,5
Teller_MM27,20220710,10:43:41am,TLAI0045,45,64.72598494,-165.9430325,75.411,1.84,5
Teller_MM27,20220710,10:46:21am,TLAI0046,46,64.72608227,-165.9434166,75.235,2.97,5
Teller_MM27,20220710,10:49:51am,TLAI0047,47,64.72587289,-165.9438651,74.073,3.3,5
Teller_MM27,20220710,10:52:34am,TLAI0048,48,64.72603519,-165.9446193,72.163,0.8,4
Teller_MM27,20220710,10:55:38am,TLAI0049,49,64.72611743,-165.9451187,71.185,3.85,5
Teller_MM27,20220710,11:00:39am,TLAI0050,50,64.7269381,-165.9448329,74.939,2.11,5
Teller_MM27,20220710,11:05:48am,TLAI0051,51,64.72719499,-165.9442408,79.737,2.35,4
Teller_MM27,20220710,11:10:50am,TLAI0052,52,64.72701576,-165.9436888,79.176,1.57,5
Teller_MM27,20220710,11:15:27am,TLAI0053,53,64.72661712,-165.9427307,77.814,1.28,5
Teller_MM27,20220710,11:19:26am,TLAI0054,54,64.72648229,-165.942139,72.168,1.46,5
Teller_MM27,20220710,11:22:09am,TLAI0055,55,64.72639296,-165.9416348,69.992,2.11,5
Teller_MM27,20220710,11:25:27am,TLAI0056,56,64.72629499,-165.9411611,63.249,0.54,4
Teller_MM27,20220710,11:27:59am,TLAI0057,57,64.72603149,-165.941009,33.998,2.63,5
Teller_MM27,20220710,11:33:09am,TLAI0058,58,64.72690557,-165.9415948,79.376,1.93,5
Teller_MM27,20220710,11:35:35am,TLAI0059,59,64.72701161,-165.9418639,79.496,2.55,5
Teller_MM27,20220710,11:39:28am,TLAI0060,60,64.72721041,-165.9430445,80.243,1.48,5
Teller_MM27,20220710,11:52:00am,TLAI0061,61,64.72769881,-165.9432453,83.548,1.91,5
Teller_MM27,20220710,11:57:17am,TLAI0062,62,64.72767303,-165.9434296,82.673,3.2,6
Teller_MM27,20220710,12:03:32pm,TLAI0063,63,64.72775795,-165.9437499,82.013,4.62,5
Teller_MM27,20220710,12:09:33pm,TLAI0064,64,64.72793329,-165.9442707,82.587,2.96,5
Teller_MM27,20220710,12:12:59pm,TLAI0065,65,64.72811264,-165.9447223,84,0.65,4
Teller_MM27,20220710,12:15:31pm,TLAI0066,66,64.72823689,-165.9452183,85.637,1.81,5
Teller_MM27,20220710,12:18:56pm,TLAI0067,67,64.72844605,-165.9458655,87.669,2.89,5
Teller_MM27,20220710,12:22:11pm,TLAI0068,68,64.72875209,-165.9458127,89.67,2.61,5
Teller_MM27,20220710,12:27:57pm,TLAI0069,69,64.72862808,-165.9445067,87.027,1.51,5
Teller_MM27,20220710,12:32:16pm,TLAI0070,70,64.72865232,-165.9430682,87.937,1.03,5
Teller_MM27,20220710,01:19:28pm,TLAI0071,71,64.72841411,-165.9405132,85.492,0.32,2
Teller_MM27,20220710,01:21:33pm,TLAI0072,72,64.72841481,-165.9408965,85.028,3.74,4
Teller_MM27,20220710,01:23:35pm,TLAI0073,73,64.72857427,-165.9412716,86.815,3.05,5
Teller_MM27,20220710,01:27:58pm,TLAI0074,74,64.72881535,-165.9418165,88.417,1.76,5
Teller_MM27,20220710,01:38:44pm,TLAI0075,75,64.7294086,-165.9426622,92.227,0.82,2
Teller_MM27,20220710,01:42:00pm,TLAI0076,76,64.72975536,-165.9429309,93.412,1.29,5
Teller_MM27,20220710,01:45:41pm,TLAI0077,77,64.73004895,-165.9430696,95.852,0.32,5
Teller_MM27,20220710,01:51:49pm,TLAI0078,78,64.7308812,-165.9449503,101.339,1.26,5
Teller_MM27,20220710,01:55:00pm,TLAI0079,79,64.7309184,-165.9445257,101.508,1.72,5
Teller_MM27,20220710,02:01:03pm,TLAI0080,80,64.73036314,-165.9416438,94.867,1.24,5
Teller_MM27,20220711,10:25:57am,TLAI0081,81,64.7313771,-165.9397805,98.164,1.67,5
Teller_MM27,20220711,10:29:33am,TLAI0082,82,64.73189905,-165.9403514,102.287,5.35,4
Teller_MM27,20220711,10:31:38am,TLAI0083,83,64.73190173,-165.9409709,103.148,2.54,5
Teller_MM27,20220711,10:33:20am,TLAI0084,84,64.7319708,-165.9411952,103.537,4,5
Teller_MM27,20220711,10:37:16am,TLAI0085,85,64.7321418,-165.9414129,105.02,7.69,5
Teller_MM27,20220711,10:40:36am,TLAI0086,86,64.73184634,-165.9419145,104.357,3.89,5
Teller_MM27,20220711,10:42:31am,TLAI0087,87,64.73184575,-165.9422164,105.205,2.37,5
Teller_MM27,20220711,10:46:40am,TLAI0088,88,64.73202458,-165.9429066,106.713,2.99,5
Teller_MM27,20220711,10:49:07am,TLAI0089,89,64.73219903,-165.9435808,109.225,5.44,5
Teller_MM27,20220711,10:50:42am,TLAI0090,90,64.73216817,-165.9435846,108.741,3.88,5
Teller_MM27,20220711,10:54:29am,TLAI0091,91,64.73175075,-165.9432021,105.304,0.89,5
Teller_MM27,20220711,10:57:47am,TLAI0092,92,64.73125642,-165.9423832,101.397,0.83,5
Teller_MM27,20220711,10:59:58am,TLAI0093,93,64.73091997,-165.9418597,100.093,0.94,5
Teller_MM27,20220711,11:01:48am,TLAI0094,94,64.73086948,-165.9415974,98.33,1.45,5
Teller_MM27,20220711,11:03:46am,TLAI0095,95,64.73059357,-165.9412691,95.913,1.51,5
Teller_MM27,20220711,11:07:17am,TLAI0096,96,64.73003781,-165.9410625,91.283,0.95,5
Teller_MM27,20220711,11:09:45am,TLAI0097,97,64.72993586,-165.9408009,92.421,2.85,5
Teller_MM27,20220711,11:11:22am,TLAI0098,98,64.7298184,-165.94052,91.633,1.21,5
Teller_MM27,20220711,11:13:26am,TLAI0099,99,64.72933897,-165.9402418,88.797,0.78,5
Teller_MM27,20220711,11:15:29am,TLAI0100,100,64.72886203,-165.9399898,86.086,1.18,5
